"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"04","宮城県","04101","仙台市青葉区","041010001000","川内明神横丁","38.265290","140.859760","0","1"
"04","宮城県","04101","仙台市青葉区","041010002000","臨済院","38.285195","140.827876","0","1"
"04","宮城県","04101","仙台市青葉区","041010003001","大町一丁目","38.259866","140.869594","0","3"
"04","宮城県","04101","仙台市青葉区","041010004000","川内亀岡北裏丁","38.262210","140.847130","0","1"
"04","宮城県","04101","仙台市青葉区","041010005000","川内大工町","38.263408","140.858841","0","1"
"04","宮城県","04101","仙台市青葉区","041010006002","東照宮二丁目","38.278591","140.886066","0","3"
"04","宮城県","04101","仙台市青葉区","041010007000","川内山屋敷","38.258290","140.846740","0","1"
"04","宮城県","04101","仙台市青葉区","041010008000","川内中ノ瀬町","38.260270","140.858424","0","1"
"04","宮城県","04101","仙台市青葉区","041010009001","国分町一丁目","38.261326","140.869508","0","3"
"04","宮城県","04101","仙台市青葉区","041010010000","菊田町","38.284796","140.847481","0","1"
"04","宮城県","04101","仙台市青葉区","041010011001","吉成台一丁目","38.293163","140.823723","0","3"
"04","宮城県","04101","仙台市青葉区","041010012002","貝ケ森二丁目","38.280318","140.838382","0","3"
"04","宮城県","04101","仙台市青葉区","041010013003","中山吉成三丁目","38.297430","140.817950","0","3"
"04","宮城県","04101","仙台市青葉区","041010014002","愛子東二丁目","38.273126","140.774543","0","3"
"04","宮城県","04101","仙台市青葉区","041010015001","小松島一丁目","38.278128","140.888015","0","3"
"04","宮城県","04101","仙台市青葉区","041010016002","宮町二丁目","38.270121","140.883944","0","3"
"04","宮城県","04101","仙台市青葉区","041010017007","小田原七丁目","38.271294","140.889386","0","3"
"04","宮城県","04101","仙台市青葉区","041010018002","花京院二丁目","38.266876","140.880931","0","3"
"04","宮城県","04101","仙台市青葉区","041010019000","北目町","38.254352","140.877087","0","1"
"04","宮城県","04101","仙台市青葉区","041010020007","台原七丁目","38.283983","140.882246","0","3"
"04","宮城県","04101","仙台市青葉区","041010021000","川内澱橋通","38.265046","140.857395","0","1"
