"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"13","東京都","13103","港区","131030001002","虎ノ門二丁目","35.668490","139.746192","0","3"
"13","東京都","13103","港区","131030001003","虎ノ門三丁目","35.664316","139.747076","0","3"
"13","東京都","13103","港区","131030002004","芝公園四丁目","35.656459","139.747640","0","3"
"13","東京都","13103","港区","131030003003","芝三丁目","35.652330","139.747302","0","3"
"13","東京都","13103","港区","131030004001","港南一丁目","35.634002","139.745217","0","3"
"13","東京都","13103","港区","131030003005","芝五丁目","35.647133","139.746672","0","3"
"13","東京都","13103","港区","131030004003","港南三丁目","35.633695","139.750679","0","3"
"13","東京都","13103","港区","131030004004","港南四丁目","35.627402","139.749308","0","3"
"13","東京都","13103","港区","131030005004","芝浦四丁目","35.639747","139.747114","0","3"
"13","東京都","13103","港区","131030002003","芝公園三丁目","35.659943","139.747207","0","3"
"13","東京都","13103","港区","131030006001","西新橋一丁目","35.668733","139.753194","0","3"
"13","東京都","13103","港区","131030001001","虎ノ門一丁目","35.668358","139.749670","0","3"
"13","東京都","13103","港区","131030007001","南青山一丁目","35.669694","139.725231","0","3"
"13","東京都","13103","港区","131030008001","赤坂一丁目","35.668589","139.742334","0","3"
"13","東京都","13103","港区","131030008002","赤坂二丁目","35.671044","139.740230","0","3"
"13","東京都","13103","港区","131030008006","赤坂六丁目","35.669375","139.735460","0","3"
"13","東京都","13103","港区","131030008007","赤坂七丁目","35.671874","139.730820","0","3"
"13","東京都","13103","港区","131030008008","赤坂八丁目","35.670737","139.728190","0","3"
"13","東京都","13103","港区","131030009002","北青山二丁目","35.671934","139.717754","0","3"
"13","東京都","13103","港区","131030007002","南青山二丁目","35.667311","139.721885","0","3"
"13","東京都","13103","港区","131030010001","台場一丁目","35.630728","139.777935","0","3"
"13","東京都","13103","港区","131030004005","港南五丁目","35.629030","139.756164","0","3"
"13","東京都","13103","港区","131030010002","台場二丁目","35.627220","139.775903","0","3"
"13","東京都","13103","港区","131030011002","芝大門二丁目","35.655059","139.753450","0","3"
"13","東京都","13103","港区","131030012002","浜松町二丁目","35.654862","139.755988","0","3"
"13","東京都","13103","港区","131030013003","海岸三丁目","35.640807","139.756877","0","3"
"13","東京都","13103","港区","131030003002","芝二丁目","35.651338","139.751694","0","3"
