"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"44","大分県","44201","大分市","442010001001","青崎一丁目","33.258456","131.704054","0","3"
"44","大分県","44201","大分市","442010001002","青崎二丁目","33.257082","131.709666","0","3"
"44","大分県","44201","大分市","442010002001","青葉台一丁目","33.230211","131.576574","0","3"
"44","大分県","44201","大分市","442010002002","青葉台二丁目","33.228100","131.576597","0","3"
"44","大分県","44201","大分市","442010002003","青葉台三丁目","33.228362","131.572517","0","3"
"44","大分県","44201","大分市","442010002004","青葉台四丁目","33.230307","131.573825","0","3"
"44","大分県","44201","大分市","442010003000","青葉町","33.252776","131.627503","0","1"
"44","大分県","44201","大分市","442010004001","明野北一丁目","33.227464","131.653499","0","3"
"44","大分県","44201","大分市","442010004002","明野北二丁目","33.232450","131.654036","0","3"
"44","大分県","44201","大分市","442010004003","明野北三丁目","33.231886","131.657671","0","3"
"44","大分県","44201","大分市","442010004004","明野北四丁目","33.228481","131.657006","0","3"
"44","大分県","44201","大分市","442010004005","明野北五丁目","33.228728","131.659521","0","3"
"44","大分県","44201","大分市","442010005001","明野高尾一丁目","33.212934","131.650871","0","3"
"44","大分県","44201","大分市","442010005002","明野高尾二丁目","33.213760","131.649684","0","3"
"44","大分県","44201","大分市","442010005003","明野高尾三丁目","33.208837","131.646839","0","3"
"44","大分県","44201","大分市","442010005004","明野高尾四丁目","33.210568","131.647139","0","3"
"44","大分県","44201","大分市","442010006001","明野西一丁目","33.227117","131.649161","0","3"
"44","大分県","44201","大分市","442010006002","明野西二丁目","33.229768","131.646101","0","3"
"44","大分県","44201","大分市","442010007001","明野東一丁目","33.223141","131.654367","0","3"
"44","大分県","44201","大分市","442010007002","明野東二丁目","33.222326","131.657906","0","3"
"44","大分県","44201","大分市","442010007003","明野東三丁目","33.218371","131.657092","0","3"
"44","大分県","44201","大分市","442010007004","明野東四丁目","33.214689","131.657583","0","3"
"44","大分県","44201","大分市","442010007005","明野東五丁目","33.217767","131.660123","0","3"
"44","大分県","44201","大分市","442010008001","明野南一丁目","33.222367","131.649992","0","3"
"44","大分県","44201","大分市","442010008002","明野南二丁目","33.221558","131.647126","0","3"
"44","大分県","44201","大分市","442010008003","明野南三丁目","33.218149","131.652702","0","3"
"44","大分県","44201","大分市","442010009001","曙台一丁目","33.235481","131.725869","0","3"
"44","大分県","44201","大分市","442010009002","曙台二丁目","33.235379","131.727862","0","3"
"44","大分県","44201","大分市","442010009003","曙台三丁目","33.233889","131.729003","0","3"
"44","大分県","44201","大分市","442010009004","曙台四丁目","33.235672","131.729287","0","3"
"44","大分県","44201","大分市","442010010001","生石一丁目","33.243569","131.586607","0","3"
"44","大分県","44201","大分市","442010010002","生石二丁目","33.245011","131.584668","0","3"
"44","大分県","44201","大分市","442010010003","生石三丁目","33.244639","131.587344","0","3"
"44","大分県","44201","大分市","442010010004","生石四丁目","33.245603","131.586056","0","3"
"44","大分県","44201","大分市","442010010005","生石五丁目","33.246622","131.584754","0","3"
"44","大分県","44201","大分市","442010011001","生石港町一丁目","33.247380","131.580782","0","3"
"44","大分県","44201","大分市","442010011002","生石港町二丁目","33.248169","131.581675","0","3"
"44","大分県","44201","大分市","442010012000","泉町","33.249623","131.612336","0","1"
"44","大分県","44201","大分市","442010013001","今津留一丁目","33.242253","131.622957","0","3"
"44","大分県","44201","大分市","442010013002","今津留二丁目","33.243014","131.625365","0","3"
"44","大分県","44201","大分市","442010013003","今津留三丁目","33.243302","131.627040","0","3"
"44","大分県","44201","大分市","442010014001","岩田町一丁目","33.235959","131.625142","0","3"
"44","大分県","44201","大分市","442010014002","岩田町二丁目","33.236297","131.627717","0","3"
"44","大分県","44201","大分市","442010014003","岩田町三丁目","33.236755","131.629352","0","3"
"44","大分県","44201","大分市","442010014004","岩田町四丁目","33.234457","131.630001","0","3"
"44","大分県","44201","大分市","442010015001","上野丘一丁目","33.224201","131.605518","0","3"
"44","大分県","44201","大分市","442010015002","上野丘二丁目","33.222447","131.610636","0","3"
"44","大分県","44201","大分市","442010016000","上野丘西","33.222761","131.613159","0","1"
"44","大分県","44201","大分市","442010017000","上野丘東","33.222107","131.615544","0","1"
"44","大分県","44201","大分市","442010018000","上野町","33.227708","131.612930","0","1"
"44","大分県","44201","大分市","442010019000","恵比寿町","33.238185","131.748456","0","1"
"44","大分県","44201","大分市","442010020000","王子北町","33.244881","131.594934","0","1"
"44","大分県","44201","大分市","442010021000","王子新町","33.236917","131.590867","0","1"
"44","大分県","44201","大分市","442010022000","王子中町","33.242263","131.594374","0","1"
"44","大分県","44201","大分市","442010023000","王子西町","33.241887","131.589721","0","1"
"44","大分県","44201","大分市","442010024000","王子町","33.243421","131.590234","0","1"
"44","大分県","44201","大分市","442010025000","王子港町","33.245436","131.590000","0","1"
"44","大分県","44201","大分市","442010026000","王子南町","33.240556","131.592823","0","1"
"44","大分県","44201","大分市","442010027000","王子山の手町","33.237060","131.588037","0","1"
"44","大分県","44201","大分市","442010028001","王ノ瀬一丁目","33.238105","131.743786","0","3"
"44","大分県","44201","大分市","442010028002","王ノ瀬二丁目","33.240560","131.746374","0","3"
"44","大分県","44201","大分市","442010029000","大字青崎","33.266041","131.707968","0","1"
"44","大分県","44201","大分市","442010030000","大字丹川","33.202099","131.707794","0","1"
"44","大分県","44201","大分市","442010031000","大字安藤","33.123031","131.563654","0","1"
"44","大分県","44201","大分市","442010032000","大字家島","33.256077","131.696385","0","1"
"44","大分県","44201","大分市","442010033000","大字生石","33.243980","131.579956","0","1"
"44","大分県","44201","大分市","442010034000","大字市","33.186522","131.573724","0","1"
"44","大分県","44201","大分市","442010035000","大字一木","33.226448","131.720053","0","1"
"44","大分県","44201","大分市","442010036000","大字市尾","33.203030","131.756196","0","1"
"44","大分県","44201","大分市","442010037000","大字一の洲","33.266910","131.691777","0","1"
"44","大分県","44201","大分市","442010038000","大字一尺屋","33.205752","131.851078","0","1"
"44","大分県","44201","大分市","442010039000","大字猪野","33.224843","131.666078","0","1"
"44","大分県","44201","大分市","442010040000","大字今市","33.111193","131.450420","0","1"
"44","大分県","44201","大分市","442010041000","大字入蔵","33.139673","131.543710","0","1"
"44","大分県","44201","大分市","442010042000","大字荏隈","33.214209","131.580310","0","1"
"44","大分県","44201","大分市","442010043000","大字大分","33.222568","131.620258","0","1"
"44","大分県","44201","大分市","442010044000","大字大在","33.256929","131.725955","0","1"
"44","大分県","44201","大分市","442010045000","大字太田","33.147827","131.485065","0","1"
"44","大分県","44201","大分市","442010046000","大字大津留","33.195096","131.680451","0","1"
"44","大分県","44201","大分市","442010047000","大字大平","33.233281","131.820866","0","1"
"44","大分県","44201","大分市","442010048000","大字岡川","33.164860","131.584347","0","1"
"44","大分県","44201","大分市","442010049000","大字奥","33.112984","131.687185","0","1"
"44","大分県","44201","大分市","442010050000","大字奥田","33.208139","131.589290","0","1"
"44","大分県","44201","大分市","442010051000","大字鴛野","33.186730","131.614907","0","1"
"44","大分県","44201","大分市","442010052000","大字乙津","33.239126","131.681773","0","1"
"44","大分県","44201","大分市","442010053000","大字小中島","33.248457","131.700848","0","1"
"44","大分県","44201","大分市","442010054000","大字鬼崎","33.192971","131.531600","0","1"
"44","大分県","44201","大分市","442010055000","大字海原","33.251777","131.673665","0","1"
"44","大分県","44201","大分市","442010056000","大字片島","33.202117","131.639968","0","1"
"44","大分県","44201","大分市","442010057000","大字葛木","33.225099","131.672470","0","1"
"44","大分県","44201","大分市","442010058000","大字金谷迫","33.228803","131.562129","0","1"
"44","大分県","44201","大分市","442010059000","大字上詰","33.128041","131.472456","0","1"
"44","大分県","44201","大分市","442010060000","大字上判田","33.150650","131.597023","0","1"
"44","大分県","44201","大分市","442010061000","大字上戸次","33.112996","131.661696","0","1"
"44","大分県","44201","大分市","442010062000","大字河原内","33.116295","131.603929","0","1"
"44","大分県","44201","大分市","442010063000","大字神崎","33.250095","131.554647","0","1"
"44","大分県","44201","大分市","442010064000","大字木佐上","33.211424","131.804764","0","1"
"44","大分県","44201","大分市","442010065000","大字北","33.257735","131.712136","0","1"
"44","大分県","44201","大分市","442010066000","大字木田","33.206659","131.765300","0","1"
"44","大分県","44201","大分市","442010067000","大字木上","33.171435","131.560701","0","1"
"44","大分県","44201","大分市","442010068000","大字口戸","33.166938","131.571257","0","1"
"44","大分県","44201","大分市","442010069000","大字久土","33.201579","131.739430","0","1"
"44","大分県","44201","大分市","442010070000","大字久原","33.239313","131.760504","0","1"
"44","大分県","44201","大分市","442010071000","大字毛井","33.191617","131.675090","0","1"
"44","大分県","44201","大分市","442010072000","大字小池原","33.236491","131.663432","0","1"
"44","大分県","44201","大分市","442010073000","大字国分","33.196958","131.555895","0","1"
"44","大分県","44201","大分市","442010074000","大字坂ノ市","33.240254","131.754850","0","1"
