"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"06","山形県","06201","山形市","062010001000","相生町","38.259076","140.337672","0","1"
"06","山形県","06201","山形市","062010002001","青田一丁目","38.225470","140.329118","0","3"
"06","山形県","06201","山形市","062010002002","青田二丁目","38.226180","140.334657","0","3"
"06","山形県","06201","山形市","062010002003","青田三丁目","38.223266","140.332035","0","3"
"06","山形県","06201","山形市","062010002004","青田四丁目","38.223710","140.328611","0","3"
"06","山形県","06201","山形市","062010002005","青田五丁目","38.222154","140.329651","0","3"
"06","山形県","06201","山形市","062010003000","青田南","38.220714","140.327070","0","1"
"06","山形県","06201","山形市","062010004000","明石堂","38.228951","140.292897","0","1"
"06","山形県","06201","山形市","062010005001","あかねケ丘一丁目","38.250198","140.311308","0","3"
"06","山形県","06201","山形市","062010005002","あかねケ丘二丁目","38.245721","140.310193","0","3"
"06","山形県","06201","山形市","062010005003","あかねケ丘三丁目","38.242139","140.309268","0","3"
"06","山形県","06201","山形市","062010006001","あけぼの一丁目","38.313451","140.362092","0","3"
"06","山形県","06201","山形市","062010006002","あけぼの二丁目","38.313547","140.359751","0","3"
"06","山形県","06201","山形市","062010007001","あこや町一丁目","38.240038","140.350896","0","3"
"06","山形県","06201","山形市","062010007002","あこや町二丁目","38.242310","140.352468","0","3"
"06","山形県","06201","山形市","062010007003","あこや町三丁目","38.240395","140.354958","0","3"
"06","山形県","06201","山形市","062010008000","旭が丘","38.227021","140.330550","0","1"
"06","山形県","06201","山形市","062010009000","あさひ町","38.243303","140.363634","0","1"
"06","山形県","06201","山形市","062010010000","あずま町","38.238828","140.337376","0","1"
"06","山形県","06201","山形市","062010011000","阿弥陀","38.250965","140.271179","0","1"
"06","山形県","06201","山形市","062010012001","荒楯町一丁目","38.233512","140.333223","0","3"
"06","山形県","06201","山形市","062010012002","荒楯町二丁目","38.231137","140.333144","0","3"
"06","山形県","06201","山形市","062010013000","飯沢","38.240955","140.302226","0","1"
"06","山形県","06201","山形市","062010014001","飯田一丁目","38.216253","140.324533","0","3"
"06","山形県","06201","山形市","062010014002","飯田二丁目","38.216442","140.327945","0","3"
"06","山形県","06201","山形市","062010014003","飯田三丁目","38.213973","140.330905","0","3"
"06","山形県","06201","山形市","062010014004","飯田四丁目","38.213849","140.326862","0","3"
"06","山形県","06201","山形市","062010014005","飯田五丁目","38.211435","140.325220","0","3"
"06","山形県","06201","山形市","062010015001","飯田西一丁目","38.216726","140.322626","0","3"
"06","山形県","06201","山形市","062010015002","飯田西二丁目","38.215582","140.318019","0","3"
"06","山形県","06201","山形市","062010015003","飯田西三丁目","38.212867","140.317382","0","3"
"06","山形県","06201","山形市","062010015004","飯田西四丁目","38.213296","140.320837","0","3"
"06","山形県","06201","山形市","062010015005","飯田西五丁目","38.211747","140.321342","0","3"
"06","山形県","06201","山形市","062010016000","飯塚口","38.257641","140.303537","0","1"
"06","山形県","06201","山形市","062010017000","石関","38.252847","140.305489","0","1"
"06","山形県","06201","山形市","062010018000","石寺","38.228057","140.285808","0","1"
"06","山形県","06201","山形市","062010019001","五十鈴一丁目","38.271661","140.353291","0","3"
"06","山形県","06201","山形市","062010019002","五十鈴二丁目","38.273776","140.354458","0","3"
"06","山形県","06201","山形市","062010019003","五十鈴三丁目","38.276069","140.355874","0","3"
"06","山形県","06201","山形市","062010020000","泉町","38.274231","140.345019","0","1"
