"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"23","愛知県","23101","名古屋市千種区","231010001005","青柳町五丁目","35.161494","136.939084","0","3"
"23","愛知県","23101","名古屋市千種区","231010001006","青柳町六丁目","35.159491","136.938490","0","3"
"23","愛知県","23101","名古屋市千種区","231010001007","青柳町七丁目","35.157020","136.937938","0","3"
"23","愛知県","23101","名古屋市千種区","231010002001","赤坂町一丁目","35.182470","136.959466","0","3"
"23","愛知県","23101","名古屋市千種区","231010002002","赤坂町二丁目","35.181677","136.959935","0","3"
"23","愛知県","23101","名古屋市千種区","231010002003","赤坂町三丁目","35.181243","136.959756","0","3"
"23","愛知県","23101","名古屋市千種区","231010002004","赤坂町四丁目","35.180691","136.958867","0","3"
"23","愛知県","23101","名古屋市千種区","231010002005","赤坂町五丁目","35.179873","136.958282","0","3"
"23","愛知県","23101","名古屋市千種区","231010002006","赤坂町六丁目","35.178691","136.957215","0","3"
"23","愛知県","23101","名古屋市千種区","231010002007","赤坂町七丁目","35.177040","136.956663","0","3"
"23","愛知県","23101","名古屋市千種区","231010003001","揚羽町一丁目","35.183193","136.964559","0","3"
"23","愛知県","23101","名古屋市千種区","231010003002","揚羽町二丁目","35.182247","136.966124","0","3"
"23","愛知県","23101","名古屋市千種区","231010004001","朝岡町一丁目","35.162513","136.965071","0","3"
"23","愛知県","23101","名古屋市千種区","231010004002","朝岡町二丁目","35.161503","136.965666","0","3"
"23","愛知県","23101","名古屋市千種区","231010004003","朝岡町三丁目","35.160574","136.966606","0","3"
"23","愛知県","23101","名古屋市千種区","231010005001","池上町一丁目","35.170634","136.970448","0","3"
"23","愛知県","23101","名古屋市千種区","231010005002","池上町二丁目","35.169669","136.972578","0","3"
"23","愛知県","23101","名古屋市千種区","231010005003","池上町三丁目","35.169358","136.974892","0","3"
"23","愛知県","23101","名古屋市千種区","231010006001","池下一丁目","35.168524","136.944253","0","3"
"23","愛知県","23101","名古屋市千種区","231010006002","池下二丁目","35.168644","136.945943","0","3"
"23","愛知県","23101","名古屋市千種区","231010007002","池下町二丁目","35.168340","136.947929","0","3"
"23","愛知県","23101","名古屋市千種区","231010008001","池園町一丁目","35.160484","136.963084","0","3"
"23","愛知県","23101","名古屋市千種区","231010008002","池園町二丁目","35.159060","136.963530","0","3"
"23","愛知県","23101","名古屋市千種区","231010009000","猪高町大字猪子石","35.185423","136.966909","0","1"
"23","愛知県","23101","名古屋市千種区","231010010001","稲舟通一丁目","35.162819","136.961814","0","3"
"23","愛知県","23101","名古屋市千種区","231010010002","稲舟通二丁目","35.161042","136.959527","0","3"
"23","愛知県","23101","名古屋市千種区","231010011000","井上町","35.162462","136.983331","0","1"
"23","愛知県","23101","名古屋市千種区","231010012001","今池一丁目","35.168448","136.933626","0","3"
"23","愛知県","23101","名古屋市千種区","231010012002","今池二丁目","35.167156","136.930226","0","3"
"23","愛知県","23101","名古屋市千種区","231010012003","今池三丁目","35.165162","136.934211","0","3"
"23","愛知県","23101","名古屋市千種区","231010012004","今池四丁目","35.169810","136.939181","0","3"
"23","愛知県","23101","名古屋市千種区","231010012005","今池五丁目","35.167094","136.939210","0","3"
"23","愛知県","23101","名古屋市千種区","231010013000","今池南","35.163905","136.938345","0","1"
"23","愛知県","23101","名古屋市千種区","231010014001","上野一丁目","35.181759","136.951849","0","3"
"23","愛知県","23101","名古屋市千種区","231010014002","上野二丁目","35.179776","136.951642","0","3"
"23","愛知県","23101","名古屋市千種区","231010014003","上野三丁目","35.177666","136.951159","0","3"
"23","愛知県","23101","名古屋市千種区","231010015001","内山一丁目","35.173227","136.935816","0","3"
"23","愛知県","23101","名古屋市千種区","231010015002","内山二丁目","35.172395","136.939457","0","3"
"23","愛知県","23101","名古屋市千種区","231010015003","内山三丁目","35.170985","136.934425","0","3"
"23","愛知県","23101","名古屋市千種区","231010016005","大久手町五丁目","35.161790","136.936797","0","3"
"23","愛知県","23101","名古屋市千種区","231010016006","大久手町六丁目","35.160228","136.936486","0","3"
"23","愛知県","23101","名古屋市千種区","231010016007","大久手町七丁目","35.158248","136.936124","0","3"
"23","愛知県","23101","名古屋市千種区","231010017001","大島町一丁目","35.160131","136.952112","0","3"
"23","愛知県","23101","名古屋市千種区","231010017002","大島町二丁目","35.159173","136.951541","0","3"
"23","愛知県","23101","名古屋市千種区","231010017003","大島町三丁目","35.158247","136.951143","0","3"
"23","愛知県","23101","名古屋市千種区","231010017004","大島町四丁目","35.157628","136.951039","0","3"
"23","愛知県","23101","名古屋市千種区","231010018001","丘上町一丁目","35.165361","136.951950","0","3"
"23","愛知県","23101","名古屋市千種区","231010018002","丘上町二丁目","35.163800","136.952419","0","3"
"23","愛知県","23101","名古屋市千種区","231010019001","御棚町一丁目","35.163736","136.949514","0","3"
"23","愛知県","23101","名古屋市千種区","231010019002","御棚町二丁目","35.162678","136.949903","0","3"
"23","愛知県","23101","名古屋市千種区","231010019003","御棚町三丁目","35.161692","136.949648","0","3"
"23","愛知県","23101","名古屋市千種区","231010020001","鏡池通一丁目","35.160270","136.955981","0","3"
"23","愛知県","23101","名古屋市千種区","231010020002","鏡池通二丁目","35.159872","136.958147","0","3"
"23","愛知県","23101","名古屋市千種区","231010020003","鏡池通三丁目","35.159319","136.960451","0","3"
"23","愛知県","23101","名古屋市千種区","231010020004","鏡池通四丁目","35.157991","136.964610","0","3"
"23","愛知県","23101","名古屋市千種区","231010021007","覚王山通七丁目","35.167646","136.946106","0","3"
"23","愛知県","23101","名古屋市千種区","231010021008","覚王山通八丁目","35.166881","136.947287","0","3"
"23","愛知県","23101","名古屋市千種区","231010021009","覚王山通九丁目","35.166350","136.950463","0","3"
"23","愛知県","23101","名古屋市千種区","231010022001","霞ケ丘一丁目","35.179296","136.962427","0","3"
"23","愛知県","23101","名古屋市千種区","231010022002","霞ケ丘二丁目","35.178358","136.965191","0","3"
"23","愛知県","23101","名古屋市千種区","231010023001","香流橋一丁目","35.190080","136.978705","0","3"
"23","愛知県","23101","名古屋市千種区","231010023002","香流橋二丁目","35.190879","136.985240","0","3"
"23","愛知県","23101","名古屋市千種区","231010024001","鹿子町一丁目","35.167764","136.972326","0","3"
"23","愛知県","23101","名古屋市千種区","231010024002","鹿子町二丁目","35.167411","136.971215","0","3"
