"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"17","石川県","17201","金沢市","172010001000","青草町","36.571525","136.656136","0","1"
"17","石川県","17201","金沢市","172010002000","相合谷町","36.491987","136.707648","0","1"
"17","石川県","17201","金沢市","172010003000","暁町","36.562942","136.67224","0","1"
"17","石川県","17201","金沢市","172010004000","赤土町","36.583352","136.596634","0","1"
"17","石川県","17201","金沢市","172010005000","浅丘町","36.638379","136.740653","0","1"
"17","石川県","17201","金沢市","172010006000","朝加屋町","36.509489","136.724497","0","1"
"17","石川県","17201","金沢市","172010007000","浅川町","36.51673","136.705331","0","1"
"17","石川県","17201","金沢市","172010008000","浅野本町","36.586531","136.656886","0","1"
"17","石川県","17201","金沢市","172010009001","浅野本町一丁目","36.580948","136.660871","0","3"
"17","石川県","17201","金沢市","172010009002","浅野本町二丁目","36.58442","136.66046","0","3"
"17","石川県","17201","金沢市","172010010000","朝日牧町","36.615406","136.75819","0","1"
"17","石川県","17201","金沢市","172010011001","旭町一丁目","36.548614","136.686241","0","3"
"17","石川県","17201","金沢市","172010011002","旭町二丁目","36.554182","136.683501","0","3"
"17","石川県","17201","金沢市","172010011003","旭町三丁目","36.55299","136.681874","0","3"
"17","石川県","17201","金沢市","172010012000","小豆沢町","36.525827","136.732955","0","1"
"17","石川県","17201","金沢市","172010013000","油車","36.557665","136.656653","0","1"
"17","石川県","17201","金沢市","172010014000","天池町","36.475802","136.711451","0","1"
"17","石川県","17201","金沢市","172010015001","荒屋一丁目","36.615684","136.684239","0","3"
"17","石川県","17201","金沢市","172010016000","荒屋町","36.61465","136.685684","0","1"
"17","石川県","17201","金沢市","172010017000","荒山町","36.565563","136.784732","0","1"
"17","石川県","17201","金沢市","172010018001","有松一丁目","36.542192","136.641574","0","3"
"17","石川県","17201","金沢市","172010018002","有松二丁目","36.542978","136.637864","0","3"
"17","石川県","17201","金沢市","172010018003","有松三丁目","36.539561","136.640295","0","3"
"17","石川県","17201","金沢市","172010018004","有松四丁目","36.539755","136.636088","0","3"
"17","石川県","17201","金沢市","172010018005","有松五丁目","36.53897","136.63808","0","3"
"17","石川県","17201","金沢市","172010019000","粟崎浜町","36.634391","136.613521","0","1"
"17","石川県","17201","金沢市","172010020000","粟崎町","36.620711","136.625269","0","1"
