"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"21","岐阜県","21201","岐阜市","212010001000","藍川町","35.420492","136.764174","0","1"
"21","岐阜県","21201","岐阜市","212010002000","間之町","35.430986","136.765511","0","1"
"21","岐阜県","21201","岐阜市","212010003001","青柳町一丁目","35.426937","136.750026","0","3"
"21","岐阜県","21201","岐阜市","212010003002","青柳町二丁目","35.426237","136.750145","0","3"
"21","岐阜県","21201","岐阜市","212010003003","青柳町三丁目","35.425379","136.750490","0","3"
"21","岐阜県","21201","岐阜市","212010003004","青柳町四丁目","35.425847","136.748966","0","3"
"21","岐阜県","21201","岐阜市","212010003005","青柳町五丁目","35.427986","136.748287","0","3"
"21","岐阜県","21201","岐阜市","212010003006","青柳町六丁目","35.427660","136.747011","0","3"
"21","岐阜県","21201","岐阜市","212010003007","青柳町七丁目","35.427130","136.746280","0","3"
"21","岐阜県","21201","岐阜市","212010004000","赤池洞","35.431763","136.796186","0","1"
"21","岐阜県","21201","岐阜市","212010005000","赤ケ洞","35.435389","136.777551","0","1"
"21","岐阜県","21201","岐阜市","212010006001","県町一丁目","35.413307","136.760323","0","3"
"21","岐阜県","21201","岐阜市","212010006002","県町二丁目","35.413231","136.761031","0","3"
"21","岐阜県","21201","岐阜市","212010007001","茜部大川一丁目","35.384697","136.746398","0","3"
"21","岐阜県","21201","岐阜市","212010007002","茜部大川二丁目","35.381385","136.745918","0","3"
"21","岐阜県","21201","岐阜市","212010008001","茜部大野一丁目","35.395584","136.754492","0","3"
"21","岐阜県","21201","岐阜市","212010008002","茜部大野二丁目","35.395493","136.750048","0","3"
"21","岐阜県","21201","岐阜市","212010009001","茜部新所一丁目","35.386073","136.755718","0","3"
"21","岐阜県","21201","岐阜市","212010009002","茜部新所二丁目","35.385435","136.758334","0","3"
"21","岐阜県","21201","岐阜市","212010009003","茜部新所三丁目","35.382037","136.758314","0","3"
"21","岐阜県","21201","岐阜市","212010009004","茜部新所四丁目","35.379356","136.757714","0","3"
"21","岐阜県","21201","岐阜市","212010010001","茜部神清寺一丁目","35.378446","136.755748","0","3"
"21","岐阜県","21201","岐阜市","212010010002","茜部神清寺二丁目","35.376772","136.755108","0","3"
"21","岐阜県","21201","岐阜市","212010011001","茜部辰新一丁目","35.380488","136.761271","0","3"
"21","岐阜県","21201","岐阜市","212010011002","茜部辰新二丁目","35.378178","136.759206","0","3"
"21","岐阜県","21201","岐阜市","212010012001","茜部寺屋敷一丁目","35.378817","136.750524","0","3"
"21","岐阜県","21201","岐阜市","212010012002","茜部寺屋敷二丁目","35.376749","136.750218","0","3"
"21","岐阜県","21201","岐阜市","212010012003","茜部寺屋敷三丁目","35.374010","136.749928","0","3"
"21","岐阜県","21201","岐阜市","212010013001","茜部中島一丁目","35.393317","136.749926","0","3"
"21","岐阜県","21201","岐阜市","212010013002","茜部中島二丁目","35.391274","136.749836","0","3"
"21","岐阜県","21201","岐阜市","212010013003","茜部中島三丁目","35.389508","136.750157","0","3"
"21","岐阜県","21201","岐阜市","212010014001","茜部野瀬一丁目","35.379118","136.745499","0","3"
"21","岐阜県","21201","岐阜市","212010014002","茜部野瀬二丁目","35.376993","136.745360","0","3"
"21","岐阜県","21201","岐阜市","212010014003","茜部野瀬三丁目","35.374073","136.745470","0","3"
"21","岐阜県","21201","岐阜市","212010015001","茜部菱野一丁目","35.387567","136.750968","0","3"
"21","岐阜県","21201","岐阜市","212010015002","茜部菱野二丁目","35.385910","136.751195","0","3"
"21","岐阜県","21201","岐阜市","212010015003","茜部菱野三丁目","35.383776","136.751048","0","3"
"21","岐阜県","21201","岐阜市","212010015004","茜部菱野四丁目","35.381224","136.750864","0","3"
"21","岐阜県","21201","岐阜市","212010016001","茜部本郷一丁目","35.394174","136.753914","0","3"
"21","岐阜県","21201","岐阜市","212010016002","茜部本郷二丁目","35.391505","136.754044","0","3"
"21","岐阜県","21201","岐阜市","212010016003","茜部本郷三丁目","35.389264","136.755145","0","3"
"21","岐阜県","21201","岐阜市","212010017000","茜町","35.373714","136.742373","0","1"
"21","岐阜県","21201","岐阜市","212010018000","秋沢","35.504120","136.708140","0","1"
