"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"38","愛媛県","38201","松山市","382010001000","愛光町","33.846316","132.749193","0","1"
"38","愛媛県","38201","松山市","382010002000","安居島","34.069636","132.704365","0","1"
"38","愛媛県","38201","松山市","382010003000","会津町","33.862186","132.726065","0","1"
"38","愛媛県","38201","松山市","382010004000","青波町","33.885329","132.856175","0","1"
"38","愛媛県","38201","松山市","382010005000","青葉台","33.857724","132.735192","0","1"
"38","愛媛県","38201","松山市","382010006000","浅海原","34.001847","132.795325","0","1"
"38","愛媛県","38201","松山市","382010007000","浅海本谷","34.007847","132.812280","0","1"
"38","愛媛県","38201","松山市","382010008001","朝日ケ丘一丁目","33.844984","132.740477","0","3"
"38","愛媛県","38201","松山市","382010008002","朝日ケ丘二丁目","33.848359","132.744108","0","3"
"38","愛媛県","38201","松山市","382010009000","旭町","33.839485","132.776824","0","1"
"38","愛媛県","38201","松山市","382010010001","朝美一丁目","33.843604","132.745387","0","3"
"38","愛媛県","38201","松山市","382010010002","朝美二丁目","33.846586","132.746064","0","3"
"38","愛媛県","38201","松山市","382010011001","朝生田町一丁目","33.823191","132.773714","0","3"
"38","愛媛県","38201","松山市","382010011002","朝生田町二丁目","33.823281","132.769552","0","3"
"38","愛媛県","38201","松山市","382010011003","朝生田町三丁目","33.823335","132.766601","0","3"
"38","愛媛県","38201","松山市","382010011004","朝生田町四丁目","33.823299","132.763616","0","3"
"38","愛媛県","38201","松山市","382010011005","朝生田町五丁目","33.820663","132.771511","0","3"
"38","愛媛県","38201","松山市","382010011006","朝生田町六丁目","33.820480","132.767167","0","3"
"38","愛媛県","38201","松山市","382010011007","朝生田町七丁目","33.820489","132.762705","0","3"
"38","愛媛県","38201","松山市","382010012001","天山一丁目","33.822489","132.778633","0","3"
"38","愛媛県","38201","松山市","382010012002","天山二丁目","33.820087","132.778178","0","3"
"38","愛媛県","38201","松山市","382010012003","天山三丁目","33.820191","132.774841","0","3"
"38","愛媛県","38201","松山市","382010013000","天山町","33.822522","132.781289","0","1"
"38","愛媛県","38201","松山市","382010014000","粟井河原","33.936854","132.766222","0","1"
"38","愛媛県","38201","松山市","382010015000","安城寺町","33.879403","132.740016","0","1"
"38","愛媛県","38201","松山市","382010016001","居相一丁目","33.810574","132.774073","0","3"
"38","愛媛県","38201","松山市","382010016002","居相二丁目","33.810289","132.771442","0","3"
"38","愛媛県","38201","松山市","382010016003","居相三丁目","33.810241","132.769100","0","3"
"38","愛媛県","38201","松山市","382010016004","居相四丁目","33.807749","132.770335","0","3"
"38","愛媛県","38201","松山市","382010016005","居相五丁目","33.807713","132.773921","0","3"
"38","愛媛県","38201","松山市","382010016006","居相六丁目","33.805712","132.771530","0","3"
"38","愛媛県","38201","松山市","382010017000","生石町","33.833070","132.742317","0","1"
"38","愛媛県","38201","松山市","382010018001","石手一丁目","33.849307","132.800391","0","3"
"38","愛媛県","38201","松山市","382010018002","石手二丁目","33.846769","132.798400","0","3"
"38","愛媛県","38201","松山市","382010018003","石手三丁目","33.845639","132.795813","0","3"
"38","愛媛県","38201","松山市","382010018004","石手四丁目","33.844043","132.792009","0","3"
"38","愛媛県","38201","松山市","382010018005","石手五丁目","33.846897","132.792201","0","3"
"38","愛媛県","38201","松山市","382010019000","石手白石","33.845551","132.802933","0","1"
"38","愛媛県","38201","松山市","382010020000","石風呂町","33.875987","132.717067","0","1"
"38","愛媛県","38201","松山市","382010021000","泉町","33.831962","132.767325","0","1"
"38","愛媛県","38201","松山市","382010022000","磯河内","33.928125","132.769395","0","1"
"38","愛媛県","38201","松山市","382010023001","市坪北一丁目","33.813570","132.753668","0","3"
"38","愛媛県","38201","松山市","382010023002","市坪北二丁目","33.812759","132.750904","0","3"
"38","愛媛県","38201","松山市","382010024000","市坪西町","33.809432","132.744574","0","1"
"38","愛媛県","38201","松山市","382010025001","市坪南一丁目","33.809532","132.753662","0","3"
"38","愛媛県","38201","松山市","382010025002","市坪南二丁目","33.809329","132.750875","0","3"
"38","愛媛県","38201","松山市","382010025003","市坪南三丁目","33.805752","132.752050","0","3"
"38","愛媛県","38201","松山市","382010026001","一番町一丁目","33.841126","132.773657","0","3"
"38","愛媛県","38201","松山市","382010026002","一番町二丁目","33.841222","132.771378","0","3"
