"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"01","北海道","01101","札幌市中央区","011010001001","旭ケ丘一丁目","43.04223","141.319722","0","3"
"01","北海道","01101","札幌市中央区","011010001002","旭ケ丘二丁目","43.039768","141.321733","0","3"
"01","北海道","01101","札幌市中央区","011010001003","旭ケ丘三丁目","43.039569","141.319617","0","3"
"01","北海道","01101","札幌市中央区","011010001004","旭ケ丘四丁目","43.038819","141.32304","0","3"
"01","北海道","01101","札幌市中央区","011010001005","旭ケ丘五丁目","43.036547","141.322217","0","3"
"01","北海道","01101","札幌市中央区","011010001006","旭ケ丘六丁目","43.037676","141.318922","0","3"
"01","北海道","01101","札幌市中央区","011010002010","大通西十丁目","43.059131","141.341914","0","3"
"01","北海道","01101","札幌市中央区","011010002011","大通西十一丁目","43.058906","141.34036","0","3"
"01","北海道","01101","札幌市中央区","011010002012","大通西十二丁目","43.058673","141.338831","0","3"
"01","北海道","01101","札幌市中央区","011010002013","大通西十三丁目","43.058456","141.337283","0","3"
"01","北海道","01101","札幌市中央区","011010002014","大通西十四丁目","43.058274","141.335727","0","3"
"01","北海道","01101","札幌市中央区","011010002015","大通西十五丁目","43.058085","141.334155","0","3"
"01","北海道","01101","札幌市中央区","011010002016","大通西十六丁目","43.057873","141.33259","0","3"
"01","北海道","01101","札幌市中央区","011010002017","大通西十七丁目","43.057661","141.331028","0","3"
"01","北海道","01101","札幌市中央区","011010002018","大通西十八丁目","43.057449","141.329491","0","3"
"01","北海道","01101","札幌市中央区","011010002019","大通西十九丁目","43.057233","141.327933","0","3"
"01","北海道","01101","札幌市中央区","011010002001","大通西一丁目","43.061017","141.356364","0","3"
"01","北海道","01101","札幌市中央区","011010002020","大通西二十丁目","43.057218","141.326249","0","3"
"01","北海道","01101","札幌市中央区","011010002021","大通西二十一丁目","43.057136","141.324987","0","3"
"01","北海道","01101","札幌市中央区","011010002022","大通西二十二丁目","43.056988","141.32363","0","3"
"01","北海道","01101","札幌市中央区","011010002023","大通西二十三丁目","43.0568","141.32228","0","3"
"01","北海道","01101","札幌市中央区","011010002024","大通西二十四丁目","43.056707","141.320761","0","3"
"01","北海道","01101","札幌市中央区","011010002025","大通西二十五丁目","43.056346","141.319514","0","3"
"01","北海道","01101","札幌市中央区","011010002026","大通西二十六丁目","43.056156","141.318176","0","3"
"01","北海道","01101","札幌市中央区","011010002027","大通西二十七丁目","43.056022","141.316522","0","3"
"01","北海道","01101","札幌市中央区","011010002028","大通西二十八丁目","43.055779","141.314698","0","3"
"01","北海道","01101","札幌市中央区","011010002002","大通西二丁目","43.060797","141.354447","0","3"
"01","北海道","01101","札幌市中央区","011010002003","大通西三丁目","43.060858","141.35275","0","3"
"01","北海道","01101","札幌市中央区","011010002004","大通西四丁目","43.060386","141.35126","0","3"
"01","北海道","01101","札幌市中央区","011010002005","大通西五丁目","43.060166","141.349754","0","3"
"01","北海道","01101","札幌市中央区","011010002006","大通西六丁目","43.059916","141.348201","0","3"
"01","北海道","01101","札幌市中央区","011010002007","大通西七丁目","43.059742","141.34663","0","3"
"01","北海道","01101","札幌市中央区","011010002008","大通西八丁目","43.059574","141.345058","0","3"
"01","北海道","01101","札幌市中央区","011010002009","大通西九丁目","43.05935","141.343501","0","3"
"01","北海道","01101","札幌市中央区","011010003010","大通東十丁目","43.064148","141.372048","0","3"
"01","北海道","01101","札幌市中央区","011010003011","大通東十一丁目","43.064585","141.373969","0","3"
"01","北海道","01101","札幌市中央区","011010003012","大通東十二丁目","43.06501","141.375916","0","3"
"01","北海道","01101","札幌市中央区","011010003013","大通東十三丁目","43.065476","141.37778","0","3"
