"PrefCode","PrefName","MuniCode","MuniName","DistCode","DistName","lat","lon","SrcCode","CatCode"
"06","山形県","06382","東置賜郡川西町","063820001000","大字大塚","38.042637","140.074889","0","1"
"06","山形県","06382","東置賜郡川西町","063820002000","大字大舟","37.936755","140.016274","0","1"
"06","山形県","06382","東置賜郡川西町","063820003000","大字尾長島","37.983817","140.104474","0","1"
"06","山形県","06382","東置賜郡川西町","063820004000","大字上奥田","37.963454","140.020726","0","1"
"06","山形県","06382","東置賜郡川西町","063820005000","大字上小松","38.002377","140.031057","0","1"
"06","山形県","06382","東置賜郡川西町","063820006000","大字黒川","38.015330","140.079436","0","1"
"06","山形県","06382","東置賜郡川西町","063820007000","大字高豆蒄","38.018753","140.071778","0","1"
"06","山形県","06382","東置賜郡川西町","063820008000","大字小松","38.019555","140.064251","0","1"
"06","山形県","06382","東置賜郡川西町","063820009000","大字下奥田","37.983843","140.049697","0","1"
"06","山形県","06382","東置賜郡川西町","063820010000","大字下小松","38.030361","140.047234","0","1"
"06","山形県","06382","東置賜郡川西町","063820011000","大字下平柳","38.001004","140.124485","0","1"
"06","山形県","06382","東置賜郡川西町","063820012000","大字洲島","38.017150","140.115095","0","1"
"06","山形県","06382","東置賜郡川西町","063820013000","大字高山","38.014430","140.087997","0","1"
"06","山形県","06382","東置賜郡川西町","063820014000","大字玉庭","37.926586","139.967128","0","1"
"06","山形県","06382","東置賜郡川西町","063820015000","大字時田","37.981286","140.063281","0","1"
"06","山形県","06382","東置賜郡川西町","063820016000","大字中小松","38.014168","140.054852","0","1"
"06","山形県","06382","東置賜郡川西町","063820017000","大字西大塚","38.044969","140.058111","0","1"
"06","山形県","06382","東置賜郡川西町","063820018000","大字莅","37.992599","140.072586","0","1"
"06","山形県","06382","東置賜郡川西町","063820019000","大字東大塚","38.040931","140.089618","0","1"
"06","山形県","06382","東置賜郡川西町","063820020000","大字朴沢","37.985428","139.991321","0","1"
"06","山形県","06382","東置賜郡川西町","063820021000","大字堀金","37.986883","140.084971","0","1"
"06","山形県","06382","東置賜郡川西町","063820022000","大字吉田","38.005074","140.098881","0","1"
